Year,Quarter,Location,Type,Average Employment,Average Female Employment,Average Wage,Number of Establishments,Total Wages
2000,3,Vermont,Non-Durable Goods manufacturing,12699.0,4635.0,8033.0,456.0,
2000,3,Vermont,"Other services, except public administration supersector",10255.0,5297.0,5017.0,2676.0,
2000,3,Vermont,Private ownership,252711.0,115662.0,6987.0,22238.0,
2000,3,Vermont,Professional and Business Services supersector,21247.0,9228.0,8041.0,3350.0,
2000,3,Vermont,Professional and technical services,12313.0,5753.0,9947.0,2305.0,
2000,3,Vermont,Real estate and rental and leasing,3135.0,1300.0,5766.0,683.0,
2000,3,Vermont,Retail trade,39736.0,19021.0,4950.0,3819.0,
2000,3,Vermont,Service Providing domain,185691.0,99149.0,6296.0,17901.0,
2000,3,Vermont,State government,14633.0,7833.0,7752.0,254.0,
2000,3,Vermont,Total Covered -  all ownerships,294632.0,,7048.0,23920.0,
2000,3,Vermont,"Trade, Transportation, and Utilities supersector",58156.0,23880.0,6236.0,5686.0,
2000,3,Vermont,Transportation and warehousing,6702.0,1742.0,7222.0,602.0,
2000,3,Vermont,Unspecified industry supersector,,,,,
2000,3,Vermont,Utilities,1703.0,383.0,14159.0,56.0,
2000,3,Vermont,Wholesale trade,10015.0,2734.0,9330.0,1209.0,
2000,4,Vermont,Accommodation and food services,29084.0,16456.0,3513.0,,
2000,4,Vermont,Administrative and waste services,8156.0,3218.0,5423.0,,
2000,4,Vermont,"Agriculture, forestry, fishing and hunting",2185.0,670.0,5175.0,,
2000,4,Vermont,"Arts, entertainment, and recreation",3183.0,1551.0,5808.0,,
2000,4,Vermont,Construction supersector,15361.0,1701.0,8669.0,,
2000,4,Vermont,Durable Goods manufacturing,34833.0,9361.0,10988.0,,
2000,4,Vermont,Education and Health Services supersector,43722.0,32762.0,7398.0,,
2000,4,Vermont,Educational services,9007.0,5211.0,6973.0,,
2000,4,Vermont,Federal Government,5753.0,,10456.0,,
2000,4,Vermont,Finance and insurance,9662.0,6659.0,10883.0,,
2000,4,Vermont,Financial Activities supersector,12729.0,7992.0,9830.0,,
2000,4,Vermont,Goods Producing domain,65999.0,16480.0,9756.0,,
2000,4,Vermont,Health care and social assistance,34715.0,27551.0,7509.0,,
2000,4,Vermont,Information supersector,6973.0,3300.0,8899.0,,
2000,4,Vermont,Leisure and Hospitality supersector,32267.0,18007.0,3740.0,,
2000,4,Vermont,Local government,28893.0,18914.0,6162.0,,
2000,4,Vermont,Management of companies and enterprises,338.0,166.0,10709.0,,
2000,4,Vermont,Manufacturing supersector,47459.0,13996.0,10336.0,,
2000,4,Vermont,Mining,995.0,113.0,8940.0,,
2000,4,Vermont,Natural Resources and Mining supersector,3180.0,783.0,6353.0,,
2000,4,Vermont,Non-Durable Goods manufacturing,12626.0,4635.0,8538.0,,
2000,4,Vermont,"Other services, except public administration supersector",10040.0,5243.0,5535.0,,
2000,4,Vermont,Private ownership,252288.0,118515.0,7649.0,,
2000,4,Vermont,Professional and Business Services supersector,20924.0,9227.0,9652.0,,
2000,4,Vermont,Professional and technical services,12431.0,5843.0,12399.0,,
2000,4,Vermont,Real estate and rental and leasing,3067.0,1333.0,6513.0,,
2000,4,Vermont,Retail trade,40919.0,20568.0,5236.0,,
2000,4,Vermont,Service Providing domain,186288.0,102035.0,6903.0,,
2000,4,Vermont,State government,14789.0,7731.0,9133.0,,
2000,4,Vermont,Total Covered -  all ownerships,301722.0,,7633.0,,
2000,4,Vermont,"Trade, Transportation, and Utilities supersector",59634.0,25504.0,6659.0,,
2000,4,Vermont,Transportation and warehousing,7020.0,1768.0,7608.0,,
2000,4,Vermont,Unspecified industry supersector,,,,,
2000,4,Vermont,Utilities,1660.0,368.0,14660.0,,
2000,4,Vermont,Wholesale trade,10035.0,2800.0,10474.0,,
2001,1,Vermont,Accommodation and food services,32645.0,16649.0,3436.0,1765.0,112182.0
2001,1,Vermont,Administrative and waste services,7420.0,2986.0,5439.0,1011.0,40356.0
2001,1,Vermont,"Agriculture, forestry, fishing and hunting",1963.0,613.0,5146.0,322.0,10102.0
2001,1,Vermont,"Arts, entertainment, and recreation",3027.0,1527.0,3509.0,338.0,10622.0
2001,1,Vermont,Construction supersector,12903.0,1554.0,7994.0,2632.0,103149.0
2001,1,Vermont,Durable Goods manufacturing,34483.0,9434.0,11905.0,815.0,410523.0
2001,1,Vermont,Education and Health Services supersector,44019.0,32801.0,6867.0,2013.0,302290.0
2001,1,Vermont,Educational services,9011.0,5140.0,7017.0,266.0,63226.0
2001,1,Vermont,Federal Government,5679.0,,11127.0,611.0,63195.0
2001,1,Vermont,Finance and insurance,9685.0,6712.0,12143.0,887.0,117599.0
2001,1,Vermont,Financial Activities supersector,12650.0,8042.0,10717.0,1577.0,135576.0
2001,1,Vermont,Goods Producing domain,62290.0,16024.0,10138.0,4281.0,631511.0
2001,1,Vermont,Health care and social assistance,35008.0,27661.0,6829.0,1747.0,239064.0
2001,1,Vermont,Information supersector,6912.0,3387.0,8750.0,507.0,60486.0
2001,1,Vermont,Leisure and Hospitality supersector,35672.0,18176.0,3443.0,2103.0,122804.0
2001,1,Vermont,Local government,28656.0,18708.0,6477.0,819.0,185590.0
2001,1,Vermont,Management of companies and enterprises,305.0,146.0,11993.0,25.0,3662.0
2001,1,Vermont,Manufacturing supersector,46591.0,13748.0,10967.0,1256.0,510975.0
2001,1,Vermont,Mining,833.0,109.0,8742.0,71.0,7285.0
2001,1,Vermont,Natural Resources and Mining supersector,2796.0,722.0,6218.0,393.0,17387.0
2001,1,Vermont,Non-Durable Goods manufacturing,12107.0,4314.0,8297.0,441.0,100452.0
2001,1,Vermont,"Other services, except public administration supersector",9750.0,5182.0,5197.0,2759.0,50668.0
2001,1,Vermont,Private ownership,249129.0,116684.0,7424.0,22269.0,1849472.0
2001,1,Vermont,Professional and Business Services supersector,20307.0,9173.0,8355.0,3368.0,169659.0
2001,1,Vermont,Professional and technical services,12581.0,6041.0,9986.0,2332.0,125642.0
2001,1,Vermont,Real estate and rental and leasing,2965.0,1330.0,6062.0,690.0,17977.0
2001,1,Vermont,Retail trade,39167.0,18986.0,5028.0,3800.0,196922.0
2001,1,Vermont,Service Providing domain,186839.0,100660.0,6519.0,17988.0,1217961.0
2001,1,Vermont,State government,15042.0,7985.0,8531.0,254.0,128322.0
2001,1,Vermont,Total Covered -  all ownerships,298506.0,,7459.0,23953.0,2226580.0
2001,1,Vermont,"Trade, Transportation, and Utilities supersector",57529.0,23899.0,6544.0,5661.0,376479.0
2001,1,Vermont,Transportation and warehousing,6704.0,1749.0,7739.0,577.0,51882.0
2001,1,Vermont,Unspecified industry supersector,,,,,
2001,1,Vermont,Utilities,1630.0,376.0,18134.0,56.0,29564.0
2001,1,Vermont,Wholesale trade,10027.0,2788.0,9784.0,1228.0,98111.0
2001,2,Vermont,Accommodation and food services,27746.0,15780.0,3355.0,1783.0,
2001,2,Vermont,Administrative and waste services,8340.0,3252.0,5928.0,1019.0,
2001,2,Vermont,"Agriculture, forestry, fishing and hunting",2326.0,825.0,4897.0,324.0,
2001,2,Vermont,"Arts, entertainment, and recreation",3418.0,1822.0,4258.0,337.0,
2001,2,Vermont,Construction supersector,15335.0,1773.0,7865.0,2681.0,
2001,2,Vermont,Durable Goods manufacturing,34168.0,9261.0,10720.0,807.0,
2001,2,Vermont,Education and Health Services supersector,44094.0,33178.0,7119.0,2011.0,
2001,2,Vermont,Educational services,8779.0,4847.0,7179.0,263.0,
2001,2,Vermont,Federal Government,5722.0,,10826.0,608.0,
2001,2,Vermont,Finance and insurance,9810.0,6789.0,10593.0,881.0,
2001,2,Vermont,Financial Activities supersector,12854.0,8163.0,9581.0,1571.0,
2001,2,Vermont,Goods Producing domain,64770.0,16288.0,9336.0,4321.0,
2001,2,Vermont,Health care and social assistance,35315.0,28331.0,7105.0,1748.0,
2001,2,Vermont,Information supersector,6753.0,3437.0,8900.0,509.0,
2001,2,Vermont,Leisure and Hospitality supersector,31164.0,17602.0,3454.0,2120.0,
2001,2,Vermont,Local government,28759.0,18425.0,7561.0,820.0,
2001,2,Vermont,Management of companies and enterprises,332.0,147.0,11795.0,25.0,
2001,2,Vermont,Manufacturing supersector,46168.0,13582.0,10065.0,1243.0,
2001,2,Vermont,Mining,940.0,108.0,8549.0,73.0,
2001,2,Vermont,Natural Resources and Mining supersector,3266.0,933.0,5948.0,397.0,
2001,2,Vermont,Non-Durable Goods manufacturing,12000.0,4321.0,8197.0,436.0,
2001,2,Vermont,"Other services, except public administration supersector",10077.0,5416.0,5502.0,2798.0,
2001,2,Vermont,Private ownership,249010.0,117781.0,7342.0,22367.0,
2001,2,Vermont,Professional and Business Services supersector,21228.0,9353.0,8671.0,3389.0,
2001,2,Vermont,Professional and technical services,12557.0,5954.0,10410.0,2345.0,
2001,2,Vermont,Real estate and rental and leasing,3044.0,1374.0,6323.0,690.0,
2001,2,Vermont,Retail trade,39606.0,19411.0,5101.0,3794.0,
2001,2,Vermont,Service Providing domain,184240.0,101493.0,6641.0,18046.0,
2001,2,Vermont,State government,15327.0,8073.0,9030.0,254.0,
2001,2,Vermont,Total Covered -  all ownerships,298818.0,,7516.0,24049.0,
2001,2,Vermont,"Trade, Transportation, and Utilities supersector",58070.0,24344.0,6530.0,5648.0,
2001,2,Vermont,Transportation and warehousing,6786.0,1773.0,7266.0,565.0,
2001,2,Vermont,Unspecified industry supersector,,,,,
2001,2,Vermont,Utilities,1643.0,381.0,15859.0,54.0,
2001,2,Vermont,Wholesale trade,10035.0,2779.0,10141.0,1235.0,
2001,3,Vermont,Accommodation and food services,29863.0,15808.0,3541.0,1776.0,
2001,3,Vermont,Administrative and waste services,8508.0,3215.0,5717.0,1043.0,
2001,3,Vermont,"Agriculture, forestry, fishing and hunting",2500.0,807.0,5056.0,330.0,
2001,3,Vermont,"Arts, entertainment, and recreation",4203.0,1839.0,3649.0,349.0,
2001,3,Vermont,Construction supersector,16998.0,1749.0,7942.0,2725.0,
2001,3,Vermont,Durable Goods manufacturing,33208.0,8866.0,10589.0,803.0,
2001,3,Vermont,Education and Health Services supersector,43995.0,33287.0,7234.0,2021.0,
2001,3,Vermont,Educational services,8347.0,5051.0,7773.0,263.0,
2001,3,Vermont,Federal Government,5886.0,,10765.0,609.0,
2001,3,Vermont,Finance and insurance,9921.0,6827.0,10344.0,888.0,
2001,3,Vermont,Financial Activities supersector,13097.0,8207.0,9370.0,1576.0,
2001,3,Vermont,Goods Producing domain,65843.0,15978.0,9194.0,4372.0,
2001,3,Vermont,Health care and social assistance,35648.0,28236.0,7108.0,1758.0,
2001,3,Vermont,Information supersector,6518.0,3163.0,8518.0,519.0,
2001,3,Vermont,Leisure and Hospitality supersector,34066.0,17647.0,3555.0,2125.0,
2001,3,Vermont,Local government,21552.0,18287.0,6625.0,820.0,
2001,3,Vermont,Management of companies and enterprises,297.0,133.0,11706.0,25.0,
2001,3,Vermont,Manufacturing supersector,45331.0,13321.0,9912.0,1244.0,
2001,3,Vermont,Mining,1014.0,101.0,8288.0,73.0,
2001,3,Vermont,Natural Resources and Mining supersector,3514.0,908.0,5988.0,403.0,
2001,3,Vermont,Non-Durable Goods manufacturing,12123.0,4455.0,8055.0,441.0,
2001,3,Vermont,"Other services, except public administration supersector",10535.0,5536.0,5290.0,2899.0,
2001,3,Vermont,Private ownership,253375.0,117354.0,7276.0,22599.0,
2001,3,Vermont,Professional and Business Services supersector,21255.0,9236.0,8536.0,3435.0,
2001,3,Vermont,Professional and technical services,12450.0,5888.0,10387.0,2367.0,
2001,3,Vermont,Real estate and rental and leasing,3176.0,1380.0,6328.0,688.0,
2001,3,Vermont,Retail trade,39784.0,19341.0,5229.0,3778.0,
2001,3,Vermont,Service Providing domain,187532.0,101376.0,6603.0,18227.0,
2001,3,Vermont,State government,15107.0,7866.0,8326.0,254.0,
2001,3,Vermont,Total Covered -  all ownerships,295920.0,,7352.0,24282.0,
2001,3,Vermont,"Trade, Transportation, and Utilities supersector",58067.0,24300.0,6604.0,5652.0,
2001,3,Vermont,Transportation and warehousing,6546.0,1790.0,7398.0,574.0,
2001,3,Vermont,Unspecified industry supersector,,,,,
2001,3,Vermont,Utilities,1666.0,376.0,15695.0,54.0,
2001,3,Vermont,Wholesale trade,10070.0,2793.0,10018.0,1246.0,
2001,4,Vermont,Accommodation and food services,27731.0,15146.0,3661.0,,
2001,4,Vermont,Administrative and waste services,7693.0,2822.0,5909.0,,
2001,4,Vermont,"Agriculture, forestry, fishing and hunting",2233.0,656.0,5540.0,,
2001,4,Vermont,"Arts, entertainment, and recreation",3091.0,1472.0,4826.0,,
2001,4,Vermont,Construction supersector,15636.0,1745.0,8978.0,,
2001,4,Vermont,Durable Goods manufacturing,32007.0,8696.0,11223.0,,
2001,4,Vermont,Education and Health Services supersector,44986.0,34009.0,7710.0,,
2001,4,Vermont,Educational services,9082.0,5311.0,7333.0,,
2001,4,Vermont,Federal Government,5801.0,,11155.0,,
2001,4,Vermont,Finance and insurance,9936.0,6817.0,11380.0,,
2001,4,Vermont,Financial Activities supersector,12949.0,8174.0,10348.0,,
2001,4,Vermont,Goods Producing domain,62770.0,15555.0,9935.0,,
2001,4,Vermont,Health care and social assistance,35903.0,28698.0,7805.0,,
2001,4,Vermont,Information supersector,6556.0,3197.0,9236.0,,
2001,4,Vermont,Leisure and Hospitality supersector,30823.0,16618.0,3778.0,,
2001,4,Vermont,Local government,29541.0,19552.0,6510.0,,
2001,4,Vermont,Management of companies and enterprises,323.0,157.0,11492.0,,
2001,4,Vermont,Manufacturing supersector,43964.0,13056.0,10505.0,,
2001,4,Vermont,Mining,938.0,98.0,9609.0,,
2001,4,Vermont,Natural Resources and Mining supersector,3171.0,754.0,6743.0,,
2001,4,Vermont,Non-Durable Goods manufacturing,11957.0,4360.0,8583.0,,
2001,4,Vermont,"Other services, except public administration supersector",10718.0,5771.0,5458.0,,
2001,4,Vermont,Private ownership,248910.0,117864.0,7882.0,,
2001,4,Vermont,Professional and Business Services supersector,20324.0,8974.0,10006.0,,
2001,4,Vermont,Professional and technical services,12308.0,5995.0,12527.0,,
2001,4,Vermont,Real estate and rental and leasing,3013.0,1357.0,6945.0,,
2001,4,Vermont,Retail trade,41093.0,20468.0,5502.0,,
2001,4,Vermont,Service Providing domain,186140.0,102309.0,7190.0,,
2001,4,Vermont,State government,15175.0,7707.0,9831.0,,
2001,4,Vermont,Total Covered -  all ownerships,299427.0,,7909.0,,
2001,4,Vermont,"Trade, Transportation, and Utilities supersector",59784.0,25566.0,7002.0,,
2001,4,Vermont,Transportation and warehousing,6854.0,1840.0,7767.0,,
2001,4,Vermont,Unspecified industry supersector,,,,,
2001,4,Vermont,Utilities,1673.0,381.0,15006.0,,
2001,4,Vermont,Wholesale trade,10165.0,2877.0,11232.0,,
2002,1,Vermont,Accommodation and food services,32166.0,15969.0,3560.0,1773.0,114500.0
2002,1,Vermont,Administrative and waste services,6831.0,2658.0,5735.0,1022.0,39180.0
2002,1,Vermont,"Agriculture, forestry, fishing and hunting",1851.0,539.0,5519.0,345.0,10214.0
2002,1,Vermont,"Arts, entertainment, and recreation",3064.0,1528.0,3793.0,356.0,11621.0
2002,1,Vermont,Construction supersector,13080.0,1601.0,8068.0,2707.0,105526.0
2002,1,Vermont,Durable Goods manufacturing,30464.0,8355.0,11996.0,814.0,365443.0
2002,1,Vermont,Education and Health Services supersector,46301.0,34754.0,7126.0,2029.0,329927.0
2002,1,Vermont,Educational services,9118.0,5098.0,7087.0,273.0,64617.0
2002,1,Vermont,Federal Government,5690.0,,11604.0,585.0,66025.0
2002,1,Vermont,Finance and insurance,9798.0,6730.0,12222.0,893.0,119753.0
2002,1,Vermont,Financial Activities supersector,12741.0,8094.0,10902.0,1575.0,138905.0
2002,1,Vermont,Goods Producing domain,57476.0,14651.0,10205.0,4366.0,586519.0
2002,1,Vermont,Health care and social assistance,37184.0,29656.0,7135.0,1756.0,265311.0
2002,1,Vermont,Information supersector,6657.0,3351.0,8811.0,514.0,58657.0
2002,1,Vermont,Leisure and Hospitality supersector,35230.0,17497.0,3580.0,2129.0,126121.0
2002,1,Vermont,Local government,29422.0,19403.0,6610.0,825.0,194471.0
2002,1,Vermont,Management of companies and enterprises,293.0,133.0,17190.0,26.0,5031.0
2002,1,Vermont,Manufacturing supersector,41817.0,12428.0,11082.0,1243.0,463421.0
2002,1,Vermont,Mining,728.0,83.0,10102.0,71.0,7358.0
2002,1,Vermont,Natural Resources and Mining supersector,2579.0,622.0,6813.0,416.0,17572.0
2002,1,Vermont,Non-Durable Goods manufacturing,11353.0,4073.0,8630.0,429.0,97979.0
2002,1,Vermont,"Other services, except public administration supersector",9256.0,4677.0,5507.0,2193.0,50973.0
2002,1,Vermont,Private ownership,244657.0,115559.0,7574.0,21843.0,1852950.0
2002,1,Vermont,Professional and Business Services supersector,19225.0,8817.0,8835.0,3397.0,169859.0
2002,1,Vermont,Professional and technical services,12101.0,6026.0,10383.0,2349.0,125648.0
2002,1,Vermont,Real estate and rental and leasing,2943.0,1364.0,6508.0,682.0,19152.0
2002,1,Vermont,Retail trade,39441.0,18757.0,5221.0,3733.0,205913.0
2002,1,Vermont,Service Providing domain,187181.0,100908.0,6766.0,17477.0,1266431.0
2002,1,Vermont,State government,14946.0,7724.0,9071.0,255.0,135574.0
2002,1,Vermont,Total Covered -  all ownerships,294715.0,,7631.0,23508.0,2249020.0
2002,1,Vermont,"Trade, Transportation, and Utilities supersector",57772.0,23718.0,6785.0,5640.0,391988.0
2002,1,Vermont,Transportation and warehousing,6706.0,1759.0,7285.0,571.0,48853.0
2002,1,Vermont,Unspecified industry supersector,,,,,
2002,1,Vermont,Utilities,1682.0,408.0,19238.0,51.0,32359.0
2002,1,Vermont,Wholesale trade,9943.0,2794.0,10547.0,1285.0,104863.0
2002,2,Vermont,Accommodation and food services,27372.0,15439.0,3474.0,1780.0,
2002,2,Vermont,Administrative and waste services,7929.0,2956.0,5628.0,1051.0,
2002,2,Vermont,"Agriculture, forestry, fishing and hunting",2281.0,793.0,4970.0,352.0,
2002,2,Vermont,"Arts, entertainment, and recreation",3753.0,1997.0,3872.0,362.0,
2002,2,Vermont,Construction supersector,15110.0,1749.0,7748.0,2791.0,
2002,2,Vermont,Durable Goods manufacturing,30065.0,8003.0,11002.0,812.0,
2002,2,Vermont,Education and Health Services supersector,46704.0,34973.0,7376.0,2040.0,
2002,2,Vermont,Educational services,8920.0,4872.0,7562.0,276.0,
2002,2,Vermont,Federal Government,5794.0,,11527.0,585.0,
2002,2,Vermont,Finance and insurance,9755.0,6689.0,11178.0,900.0,
2002,2,Vermont,Financial Activities supersector,12830.0,8092.0,10058.0,1593.0,
2002,2,Vermont,Goods Producing domain,59614.0,14667.0,9416.0,4451.0,
2002,2,Vermont,Health care and social assistance,37784.0,30101.0,7332.0,1764.0,
2002,2,Vermont,Information supersector,6700.0,3371.0,8889.0,520.0,
2002,2,Vermont,Leisure and Hospitality supersector,31125.0,17436.0,3522.0,2142.0,
2002,2,Vermont,Local government,29839.0,19240.0,7685.0,825.0,
2002,2,Vermont,Management of companies and enterprises,322.0,135.0,11897.0,24.0,
2002,2,Vermont,Manufacturing supersector,41343.0,12040.0,10273.0,1239.0,
2002,2,Vermont,Mining,881.0,85.0,9307.0,69.0,
2002,2,Vermont,Natural Resources and Mining supersector,3162.0,878.0,6178.0,421.0,
2002,2,Vermont,Non-Durable Goods manufacturing,11278.0,4037.0,8330.0,427.0,
2002,2,Vermont,"Other services, except public administration supersector",9581.0,4968.0,5591.0,2225.0,
2002,2,Vermont,Private ownership,245483.0,116879.0,7436.0,22074.0,
2002,2,Vermont,Professional and Business Services supersector,20566.0,9055.0,8514.0,3448.0,
2002,2,Vermont,Professional and technical services,12315.0,5964.0,10284.0,2373.0,
2002,2,Vermont,Real estate and rental and leasing,3075.0,1403.0,6507.0,693.0,
2002,2,Vermont,Retail trade,39800.0,19370.0,5257.0,3723.0,
2002,2,Vermont,Service Providing domain,185868.0,102212.0,6802.0,17623.0,
2002,2,Vermont,State government,14921.0,7355.0,9881.0,254.0,
2002,2,Vermont,Total Covered -  all ownerships,296036.0,,7665.0,23738.0,
2002,2,Vermont,"Trade, Transportation, and Utilities supersector",58362.0,24317.0,6731.0,5655.0,
