Year,Month,Location,Type,Employment
2000,July,Vermont,Management of companies and enterprises,302.0
2000,July,Vermont,Administrative and waste services,8676.0
2000,July,Vermont,Education and Health Services supersector,42307.0
2000,July,Vermont,Educational services,7940.0
2000,July,Vermont,Health care and social assistance,34367.0
2000,July,Vermont,Leisure and Hospitality supersector,34183.0
2000,July,Vermont,"Arts, entertainment, and recreation",3918.0
2000,July,Vermont,Accommodation and food services,30265.0
2000,July,Vermont,"Other services, except public administration supersector",10253.0
2000,July,Vermont,Unspecified industry supersector,
2000,July,Vermont,Federal Government,6250.0
2000,July,Vermont,State government,14437.0
2000,July,Vermont,Local government,17187.0
2001,July,Vermont,Total Covered -  all ownerships,292682.0
2001,July,Vermont,Private ownership,254799.0
2001,July,Vermont,Goods Producing domain,66653.0
2001,July,Vermont,Natural Resources and Mining supersector,3515.0
2001,July,Vermont,"Agriculture, forestry, fishing and hunting",2504.0
2001,July,Vermont,Mining,1011.0
2001,July,Vermont,Construction supersector,17217.0
2001,July,Vermont,Manufacturing supersector,45921.0
2001,July,Vermont,Durable Goods manufacturing,33754.0
2001,July,Vermont,Non-Durable Goods manufacturing,12167.0
2001,July,Vermont,Service Providing domain,188146.0
2001,July,Vermont,"Trade, Transportation, and Utilities supersector",58060.0
2001,July,Vermont,Wholesale trade,10101.0
2001,July,Vermont,Retail trade,39863.0
2001,July,Vermont,Transportation and warehousing,6424.0
2001,July,Vermont,Utilities,1672.0
2001,July,Vermont,Information supersector,6549.0
2001,July,Vermont,Financial Activities supersector,13116.0
2001,July,Vermont,Finance and insurance,9931.0
2001,July,Vermont,Real estate and rental and leasing,3185.0
2001,July,Vermont,Professional and Business Services supersector,21438.0
2001,July,Vermont,Professional and technical services,12598.0
2001,July,Vermont,Management of companies and enterprises,304.0
2001,July,Vermont,Administrative and waste services,8536.0
2001,July,Vermont,Education and Health Services supersector,43944.0
2001,July,Vermont,Educational services,8283.0
2001,July,Vermont,Health care and social assistance,35661.0
2001,July,Vermont,Leisure and Hospitality supersector,34413.0
2001,July,Vermont,"Arts, entertainment, and recreation",4262.0
2001,July,Vermont,Accommodation and food services,30151.0
2001,July,Vermont,"Other services, except public administration supersector",10626.0
2001,July,Vermont,Unspecified industry supersector,
2001,July,Vermont,Federal Government,5923.0
2001,July,Vermont,State government,15018.0
2001,July,Vermont,Local government,16942.0
2002,July,Vermont,Total Covered -  all ownerships,289625.0
2002,July,Vermont,Private ownership,250926.0
2002,July,Vermont,Goods Producing domain,60575.0
2002,July,Vermont,Natural Resources and Mining supersector,3369.0
2002,July,Vermont,"Agriculture, forestry, fishing and hunting",2475.0
2002,July,Vermont,Mining,894.0
2002,July,Vermont,Construction supersector,16396.0
2002,July,Vermont,Manufacturing supersector,40810.0
2002,July,Vermont,Durable Goods manufacturing,29537.0
2002,July,Vermont,Non-Durable Goods manufacturing,11273.0
2002,July,Vermont,Service Providing domain,190351.0
2002,July,Vermont,"Trade, Transportation, and Utilities supersector",58864.0
2002,July,Vermont,Wholesale trade,10087.0
2002,July,Vermont,Retail trade,40612.0
2002,July,Vermont,Transportation and warehousing,6425.0
2002,July,Vermont,Utilities,1740.0
2002,July,Vermont,Information supersector,6767.0
2002,July,Vermont,Financial Activities supersector,13180.0
2002,July,Vermont,Finance and insurance,9892.0
2002,July,Vermont,Real estate and rental and leasing,3288.0
2002,July,Vermont,Professional and Business Services supersector,20947.0
2002,July,Vermont,Professional and technical services,12535.0
2002,July,Vermont,Management of companies and enterprises,302.0
2002,July,Vermont,Administrative and waste services,8110.0
2002,July,Vermont,Education and Health Services supersector,46440.0
2002,July,Vermont,Educational services,8170.0
2002,July,Vermont,Health care and social assistance,38270.0
2002,July,Vermont,Leisure and Hospitality supersector,34338.0
2002,July,Vermont,"Arts, entertainment, and recreation",4529.0
2002,July,Vermont,Accommodation and food services,29809.0
2002,July,Vermont,"Other services, except public administration supersector",9815.0
2002,July,Vermont,Unspecified industry supersector,
2002,July,Vermont,Federal Government,5898.0
2002,July,Vermont,State government,14881.0
2002,July,Vermont,Local government,17920.0
2003,July,Vermont,Total Covered -  all ownerships,289020.0
2003,July,Vermont,Private ownership,249390.0
2003,July,Vermont,Goods Producing domain,58429.0
2003,July,Vermont,Natural Resources and Mining supersector,3296.0
2003,July,Vermont,"Agriculture, forestry, fishing and hunting",2468.0
2003,July,Vermont,Mining,828.0
2003,July,Vermont,Construction supersector,17336.0
2003,July,Vermont,Manufacturing supersector,37797.0
2003,July,Vermont,Durable Goods manufacturing,27045.0
2003,July,Vermont,Non-Durable Goods manufacturing,10752.0
2003,July,Vermont,Service Providing domain,190961.0
2003,July,Vermont,"Trade, Transportation, and Utilities supersector",57805.0
2003,July,Vermont,Wholesale trade,10238.0
2003,July,Vermont,Retail trade,39687.0
2003,July,Vermont,Transportation and warehousing,6136.0
2003,July,Vermont,Utilities,1744.0
2003,July,Vermont,Information supersector,6500.0
2003,July,Vermont,Financial Activities supersector,13331.0
2003,July,Vermont,Finance and insurance,10030.0
2003,July,Vermont,Real estate and rental and leasing,3301.0
2003,July,Vermont,Professional and Business Services supersector,21044.0
2003,July,Vermont,Professional and technical services,12245.0
2003,July,Vermont,Management of companies and enterprises,270.0
2003,July,Vermont,Administrative and waste services,8529.0
2003,July,Vermont,Education and Health Services supersector,48789.0
2003,July,Vermont,Educational services,8470.0
2003,July,Vermont,Health care and social assistance,40319.0
2003,July,Vermont,Leisure and Hospitality supersector,33948.0
2003,July,Vermont,"Arts, entertainment, and recreation",4561.0
2003,July,Vermont,Accommodation and food services,29387.0
2003,July,Vermont,"Other services, except public administration supersector",9544.0
2003,July,Vermont,Unspecified industry supersector,
2003,July,Vermont,Federal Government,6289.0
2003,July,Vermont,State government,15337.0
2003,July,Vermont,Local government,18004.0
2004,July,Vermont,Total Covered -  all ownerships,294473.0
2004,July,Vermont,Private ownership,253487.0
2004,July,Vermont,Goods Producing domain,59392.0
2004,July,Vermont,Natural Resources and Mining supersector,3387.0
2004,July,Vermont,"Agriculture, forestry, fishing and hunting",2583.0
2004,July,Vermont,Mining,804.0
2004,July,Vermont,Construction supersector,18739.0
2004,July,Vermont,Manufacturing supersector,37266.0
2004,July,Vermont,Durable Goods manufacturing,26582.0
2004,July,Vermont,Non-Durable Goods manufacturing,10684.0
2004,July,Vermont,Service Providing domain,194095.0
2004,July,Vermont,"Trade, Transportation, and Utilities supersector",58854.0
2004,July,Vermont,Wholesale trade,10381.0
2004,July,Vermont,Retail trade,40267.0
2004,July,Vermont,Transportation and warehousing,6478.0
2004,July,Vermont,Utilities,1728.0
2004,July,Vermont,Information supersector,6405.0
2004,July,Vermont,Financial Activities supersector,13236.0
2004,July,Vermont,Finance and insurance,9806.0
2004,July,Vermont,Real estate and rental and leasing,3430.0
2004,July,Vermont,Professional and Business Services supersector,21784.0
2004,July,Vermont,Professional and technical services,12677.0
2004,July,Vermont,Management of companies and enterprises,304.0
2004,July,Vermont,Administrative and waste services,8803.0
2004,July,Vermont,Education and Health Services supersector,49361.0
2004,July,Vermont,Educational services,8396.0
2004,July,Vermont,Health care and social assistance,40965.0
2004,July,Vermont,Leisure and Hospitality supersector,34951.0
2004,July,Vermont,"Arts, entertainment, and recreation",4634.0
2004,July,Vermont,Accommodation and food services,30317.0
2004,July,Vermont,"Other services, except public administration supersector",9504.0
2004,July,Vermont,Unspecified industry supersector,
2004,July,Vermont,Federal Government,6301.0
2004,July,Vermont,State government,15440.0
2004,July,Vermont,Local government,19245.0
2005,July,Vermont,Total Covered -  all ownerships,296913.0
2005,July,Vermont,Private ownership,255219.0
2005,July,Vermont,Goods Producing domain,59508.0
2005,July,Vermont,Natural Resources and Mining supersector,3315.0
2005,July,Vermont,"Agriculture, forestry, fishing and hunting",2561.0
2005,July,Vermont,Mining,754.0
2005,July,Vermont,Construction supersector,19175.0
2005,July,Vermont,Manufacturing supersector,37018.0
2005,July,Vermont,Durable Goods manufacturing,26476.0
2005,July,Vermont,Non-Durable Goods manufacturing,10542.0
2005,July,Vermont,Service Providing domain,195711.0
2005,July,Vermont,"Trade, Transportation, and Utilities supersector",59176.0
2005,July,Vermont,Wholesale trade,10154.0
2005,July,Vermont,Retail trade,40816.0
2005,July,Vermont,Transportation and warehousing,6490.0
2005,July,Vermont,Utilities,1716.0
2005,July,Vermont,Information supersector,6260.0
2005,July,Vermont,Financial Activities supersector,13188.0
2005,July,Vermont,Finance and insurance,9755.0
2005,July,Vermont,Real estate and rental and leasing,3433.0
2005,July,Vermont,Professional and Business Services supersector,22370.0
2005,July,Vermont,Professional and technical services,12781.0
2005,July,Vermont,Management of companies and enterprises,313.0
2005,July,Vermont,Administrative and waste services,9276.0
2005,July,Vermont,Education and Health Services supersector,50444.0
2005,July,Vermont,Educational services,8326.0
2005,July,Vermont,Health care and social assistance,42118.0
2005,July,Vermont,Leisure and Hospitality supersector,35003.0
2005,July,Vermont,"Arts, entertainment, and recreation",4804.0
2005,July,Vermont,Accommodation and food services,30199.0
2005,July,Vermont,"Other services, except public administration supersector",9270.0
2005,July,Vermont,Unspecified industry supersector,
2005,July,Vermont,Federal Government,6132.0
2005,July,Vermont,State government,15689.0
2005,July,Vermont,Local government,19873.0
2006,July,Vermont,Total Covered -  all ownerships,296779.0
2006,July,Vermont,Private ownership,256052.0
2006,July,Vermont,Goods Producing domain,59207.0
2006,July,Vermont,Natural Resources and Mining supersector,3373.0
2006,July,Vermont,"Agriculture, forestry, fishing and hunting",2587.0
2006,July,Vermont,Mining,786.0
2006,July,Vermont,Construction supersector,19341.0
2006,July,Vermont,Manufacturing supersector,36493.0
2006,July,Vermont,Durable Goods manufacturing,26398.0
2006,July,Vermont,Non-Durable Goods manufacturing,10095.0
2006,July,Vermont,Service Providing domain,196845.0
2006,July,Vermont,"Trade, Transportation, and Utilities supersector",59152.0
2006,July,Vermont,Wholesale trade,10332.0
2006,July,Vermont,Retail trade,40726.0
2006,July,Vermont,Transportation and warehousing,6345.0
2006,July,Vermont,Utilities,1749.0
2006,July,Vermont,Information supersector,6008.0
2006,July,Vermont,Financial Activities supersector,13125.0
2006,July,Vermont,Finance and insurance,9710.0
2006,July,Vermont,Real estate and rental and leasing,3415.0
2006,July,Vermont,Professional and Business Services supersector,22846.0
2006,July,Vermont,Professional and technical services,13374.0
2006,July,Vermont,Management of companies and enterprises,305.0
2006,July,Vermont,Administrative and waste services,9167.0
2006,July,Vermont,Education and Health Services supersector,51912.0
2006,July,Vermont,Educational services,8868.0
2006,July,Vermont,Health care and social assistance,43044.0
2006,July,Vermont,Leisure and Hospitality supersector,34560.0
2006,July,Vermont,"Arts, entertainment, and recreation",4917.0
2006,July,Vermont,Accommodation and food services,29643.0
2006,July,Vermont,"Other services, except public administration supersector",9242.0
2006,July,Vermont,Unspecified industry supersector,
2006,July,Vermont,Federal Government,6016.0
2006,July,Vermont,State government,15890.0
2006,July,Vermont,Local government,18821.0
2007,July,Vermont,Total Covered -  all ownerships,298008.0
2007,July,Vermont,Private ownership,256823.0
2007,July,Vermont,Goods Producing domain,58328.0
2007,July,Vermont,Natural Resources and Mining supersector,3393.0
2007,July,Vermont,"Agriculture, forestry, fishing and hunting",2622.0
2007,July,Vermont,Mining,771.0
2007,July,Vermont,Construction supersector,18793.0
2007,July,Vermont,Manufacturing supersector,36142.0
2007,July,Vermont,Durable Goods manufacturing,26261.0
2007,July,Vermont,Non-Durable Goods manufacturing,9881.0
2007,July,Vermont,Service Providing domain,198495.0
2007,July,Vermont,"Trade, Transportation, and Utilities supersector",59011.0
2007,July,Vermont,Wholesale trade,10349.0
2007,July,Vermont,Retail trade,40529.0
2007,July,Vermont,Transportation and warehousing,6360.0
2007,July,Vermont,Utilities,1773.0
2007,July,Vermont,Information supersector,6002.0
2007,July,Vermont,Financial Activities supersector,13103.0
2007,July,Vermont,Finance and insurance,9640.0
2007,July,Vermont,Real estate and rental and leasing,3463.0
2007,July,Vermont,Professional and Business Services supersector,23032.0
2007,July,Vermont,Professional and technical services,13367.0
2007,July,Vermont,Management of companies and enterprises,314.0
2007,July,Vermont,Administrative and waste services,9351.0
2007,July,Vermont,Education and Health Services supersector,53639.0
2007,July,Vermont,Educational services,9059.0
2007,July,Vermont,Health care and social assistance,44580.0
2007,July,Vermont,Leisure and Hospitality supersector,34540.0
2007,July,Vermont,"Arts, entertainment, and recreation",4857.0
2007,July,Vermont,Accommodation and food services,29683.0
2007,July,Vermont,"Other services, except public administration supersector",9168.0
2007,July,Vermont,Unspecified industry supersector,
2007,July,Vermont,Federal Government,6025.0
2007,July,Vermont,State government,16169.0
2007,July,Vermont,Local government,18991.0
2008,July,Vermont,Total Covered -  all ownerships,297179.0
2008,July,Vermont,Private ownership,254967.0
2008,July,Vermont,Goods Producing domain,56352.0
2008,July,Vermont,Natural Resources and Mining supersector,3526.0
2008,July,Vermont,"Agriculture, forestry, fishing and hunting",2738.0
2008,July,Vermont,Mining,788.0
2008,July,Vermont,Construction supersector,17461.0
2008,July,Vermont,Manufacturing supersector,35365.0
2008,July,Vermont,Durable Goods manufacturing,25749.0
2008,July,Vermont,Non-Durable Goods manufacturing,9616.0
2008,July,Vermont,Service Providing domain,198615.0
2008,July,Vermont,"Trade, Transportation, and Utilities supersector",58747.0
2008,July,Vermont,Wholesale trade,10305.0
2008,July,Vermont,Retail trade,40249.0
2008,July,Vermont,Transportation and warehousing,6382.0
2008,July,Vermont,Utilities,1811.0
2008,July,Vermont,Information supersector,5801.0
2008,July,Vermont,Financial Activities supersector,12830.0
2008,July,Vermont,Finance and insurance,9373.0
2008,July,Vermont,Real estate and rental and leasing,3457.0
2008,July,Vermont,Professional and Business Services supersector,23534.0
2008,July,Vermont,Professional and technical services,13543.0
2008,July,Vermont,Management of companies and enterprises,267.0
2008,July,Vermont,Administrative and waste services,9724.0
2008,July,Vermont,Education and Health Services supersector,54854.0
2008,July,Vermont,Educational services,9024.0
2008,July,Vermont,Health care and social assistance,45830.0
2008,July,Vermont,Leisure and Hospitality supersector,33804.0
2008,July,Vermont,"Arts, entertainment, and recreation",4755.0
2008,July,Vermont,Accommodation and food services,29049.0
2008,July,Vermont,"Other services, except public administration supersector",9045.0
2008,July,Vermont,Unspecified industry supersector,
2008,July,Vermont,Federal Government,6307.0
2008,July,Vermont,State government,16167.0
2008,July,Vermont,Local government,19738.0
2009,July,Vermont,Total Covered -  all ownerships,285157.0
2009,July,Vermont,Private ownership,242821.0
2009,July,Vermont,Goods Producing domain,49562.0
2009,July,Vermont,Natural Resources and Mining supersector,3451.0
2009,July,Vermont,"Agriculture, forestry, fishing and hunting",2759.0
2009,July,Vermont,Mining,692.0
2009,July,Vermont,Construction supersector,15271.0
2009,July,Vermont,Manufacturing supersector,30840.0
2009,July,Vermont,Durable Goods manufacturing,21785.0
2009,July,Vermont,Non-Durable Goods manufacturing,9055.0
2009,July,Vermont,Service Providing domain,193259.0
2009,July,Vermont,"Trade, Transportation, and Utilities supersector",55706.0
2009,July,Vermont,Wholesale trade,9698.0
2009,July,Vermont,Retail trade,38267.0
2009,July,Vermont,Transportation and warehousing,5985.0
2009,July,Vermont,Utilities,1756.0
2009,July,Vermont,Information supersector,5460.0
2009,July,Vermont,Financial Activities supersector,12311.0
2009,July,Vermont,Finance and insurance,9136.0
2009,July,Vermont,Real estate and rental and leasing,3175.0
2009,July,Vermont,Professional and Business Services supersector,22532.0
2009,July,Vermont,Professional and technical services,13128.0
2009,July,Vermont,Management of companies and enterprises,440.0
2009,July,Vermont,Administrative and waste services,8964.0
2009,July,Vermont,Education and Health Services supersector,56186.0
2009,July,Vermont,Educational services,9029.0
2009,July,Vermont,Health care and social assistance,47157.0
2009,July,Vermont,Leisure and Hospitality supersector,32299.0
2009,July,Vermont,"Arts, entertainment, and recreation",4611.0
2009,July,Vermont,Accommodation and food services,27688.0
2009,July,Vermont,"Other services, except public administration supersector",8765.0
2009,July,Vermont,Unspecified industry supersector,
2009,July,Vermont,Federal Government,6460.0
2009,July,Vermont,State government,15611.0
2009,July,Vermont,Local government,20265.0
2010,July,Vermont,Total Covered -  all ownerships,290866.0
2010,July,Vermont,Private ownership,247440.0
2010,July,Vermont,Goods Producing domain,50026.0
2010,July,Vermont,Natural Resources and Mining supersector,3443.0
2010,July,Vermont,"Agriculture, forestry, fishing and hunting",2795.0
2010,July,Vermont,Mining,648.0
2010,July,Vermont,Construction supersector,15265.0
2010,July,Vermont,Manufacturing supersector,31318.0
2010,July,Vermont,Durable Goods manufacturing,22135.0
2010,July,Vermont,Non-Durable Goods manufacturing,9183.0
2010,July,Vermont,Service Providing domain,197414.0
2010,July,Vermont,"Trade, Transportation, and Utilities supersector",56501.0
2010,July,Vermont,Wholesale trade,9724.0
2010,July,Vermont,Retail trade,38616.0
2010,July,Vermont,Transportation and warehousing,6338.0
2010,July,Vermont,Utilities,1823.0
2010,July,Vermont,Information supersector,5303.0
2010,July,Vermont,Financial Activities supersector,12136.0
2010,July,Vermont,Finance and insurance,9025.0
2010,July,Vermont,Real estate and rental and leasing,3111.0
2010,July,Vermont,Professional and Business Services supersector,24158.0
2010,July,Vermont,Professional and technical services,13743.0
2010,July,Vermont,Management of companies and enterprises,924.0
2010,July,Vermont,Administrative and waste services,9491.0
2010,July,Vermont,Education and Health Services supersector,56470.0
2010,July,Vermont,Educational services,9355.0
2010,July,Vermont,Health care and social assistance,47115.0
2010,July,Vermont,Leisure and Hospitality supersector,33906.0
2010,July,Vermont,"Arts, entertainment, and recreation",4653.0
2010,July,Vermont,Accommodation and food services,29253.0
2010,July,Vermont,"Other services, except public administration supersector",8940.0
2010,July,Vermont,Unspecified industry supersector,
2010,July,Vermont,Federal Government,6758.0
2010,July,Vermont,State government,15383.0
2010,July,Vermont,Local government,21285.0
2011,July,Vermont,Total Covered -  all ownerships,291666.0
2011,July,Vermont,Private ownership,248393.0
2011,July,Vermont,Goods Producing domain,50705.0
2011,July,Vermont,Natural Resources and Mining supersector,3629.0
2011,July,Vermont,"Agriculture, forestry, fishing and hunting",2965.0
2011,July,Vermont,Mining,664.0
2011,July,Vermont,Construction supersector,15877.0
2011,July,Vermont,Manufacturing supersector,31199.0
2011,July,Vermont,Durable Goods manufacturing,21743.0
2011,July,Vermont,Non-Durable Goods manufacturing,9456.0
2011,July,Vermont,Service Providing domain,197688.0
2011,July,Vermont,"Trade, Transportation, and Utilities supersector",56177.0
2011,July,Vermont,Wholesale trade,9801.0
2011,July,Vermont,Retail trade,38249.0
2011,July,Vermont,Transportation and warehousing,6306.0
2011,July,Vermont,Utilities,1821.0
2011,July,Vermont,Information supersector,4867.0
2011,July,Vermont,Financial Activities supersector,12040.0
2011,July,Vermont,Finance and insurance,8967.0
2011,July,Vermont,Real estate and rental and leasing,3073.0
2011,July,Vermont,Professional and Business Services supersector,25451.0
2011,July,Vermont,Professional and technical services,13744.0
2011,July,Vermont,Management of companies and enterprises,1425.0
2011,July,Vermont,Administrative and waste services,10282.0
2011,July,Vermont,Education and Health Services supersector,56570.0
2011,July,Vermont,Educational services,9200.0
2011,July,Vermont,Health care and social assistance,47370.0
2011,July,Vermont,Leisure and Hospitality supersector,33723.0
2011,July,Vermont,"Arts, entertainment, and recreation",4721.0
2011,July,Vermont,Accommodation and food services,29002.0
2011,July,Vermont,"Other services, except public administration supersector",8860.0
2011,July,Vermont,Unspecified industry supersector,
2011,July,Vermont,Federal Government,6508.0
2011,July,Vermont,State government,15440.0
2011,July,Vermont,Local government,21325.0
2012,July,Vermont,Total Covered -  all ownerships,296931.0
2012,July,Vermont,Private ownership,252949.0
2012,July,Vermont,Goods Producing domain,51742.0
2012,July,Vermont,Natural Resources and Mining supersector,3657.0
2012,July,Vermont,"Agriculture, forestry, fishing and hunting",2955.0
2012,July,Vermont,Mining,702.0
2012,July,Vermont,Construction supersector,15897.0
2012,July,Vermont,Manufacturing supersector,32188.0
2012,July,Vermont,Durable Goods manufacturing,21850.0
2012,July,Vermont,Non-Durable Goods manufacturing,10338.0
2012,July,Vermont,Service Providing domain,201207.0
2012,July,Vermont,"Trade, Transportation, and Utilities supersector",55590.0
2012,July,Vermont,Wholesale trade,9336.0
2012,July,Vermont,Retail trade,38133.0
2012,July,Vermont,Transportation and warehousing,6280.0
2012,July,Vermont,Utilities,1841.0
2012,July,Vermont,Information supersector,4633.0
2012,July,Vermont,Financial Activities supersector,11965.0
2012,July,Vermont,Finance and insurance,8795.0
2012,July,Vermont,Real estate and rental and leasing,3170.0
2012,July,Vermont,Professional and Business Services supersector,26997.0
2012,July,Vermont,Professional and technical services,14244.0
2012,July,Vermont,Management of companies and enterprises,1999.0
2012,July,Vermont,Administrative and waste services,10754.0
2012,July,Vermont,Education and Health Services supersector,58102.0
2012,July,Vermont,Educational services,9450.0
2012,July,Vermont,Health care and social assistance,48652.0
2012,July,Vermont,Leisure and Hospitality supersector,34826.0
2012,July,Vermont,"Arts, entertainment, and recreation",4858.0
2012,July,Vermont,Accommodation and food services,29968.0
2012,July,Vermont,"Other services, except public administration supersector",9094.0
2012,July,Vermont,Unspecified industry supersector,
2012,July,Vermont,Federal Government,6483.0
2012,July,Vermont,State government,15396.0
2012,July,Vermont,Local government,22103.0
2013,July,Vermont,Total Covered -  all ownerships,296769.0
2013,July,Vermont,Private ownership,253057.0
2013,July,Vermont,Goods Producing domain,51243.0
2013,July,Vermont,Natural Resources and Mining supersector,3762.0
2013,July,Vermont,"Agriculture, forestry, fishing and hunting",3093.0
2013,July,Vermont,Mining,669.0
2013,July,Vermont,Construction supersector,15406.0
2013,July,Vermont,Manufacturing supersector,32075.0
2013,July,Vermont,Durable Goods manufacturing,21397.0
2013,July,Vermont,Non-Durable Goods manufacturing,10678.0
2013,July,Vermont,Service Providing domain,201814.0
2013,July,Vermont,"Trade, Transportation, and Utilities supersector",55307.0
2013,July,Vermont,Wholesale trade,9319.0
2013,July,Vermont,Retail trade,38089.0
2013,July,Vermont,Transportation and warehousing,6099.0
2013,July,Vermont,Utilities,1800.0
2013,July,Vermont,Information supersector,4667.0
2013,July,Vermont,Financial Activities supersector,12027.0
2013,July,Vermont,Finance and insurance,8819.0
2013,July,Vermont,Real estate and rental and leasing,3208.0
2013,July,Vermont,Professional and Business Services supersector,27132.0
2013,July,Vermont,Professional and technical services,14168.0
2013,July,Vermont,Management of companies and enterprises,1975.0
2013,July,Vermont,Administrative and waste services,10989.0
2013,July,Vermont,Education and Health Services supersector,58839.0
2013,July,Vermont,Educational services,9645.0
2013,July,Vermont,Health care and social assistance,49194.0
2013,July,Vermont,Leisure and Hospitality supersector,34820.0
2013,July,Vermont,"Arts, entertainment, and recreation",4893.0
2013,July,Vermont,Accommodation and food services,29927.0
2013,July,Vermont,"Other services, except public administration supersector",9022.0
2013,July,Vermont,Unspecified industry supersector,
2013,July,Vermont,Federal Government,6636.0
2013,July,Vermont,State government,15668.0
2013,July,Vermont,Local government,21408.0
2014,July,Vermont,Total Covered -  all ownerships,301597.0
2014,July,Vermont,Private ownership,256557.0
2014,July,Vermont,Goods Producing domain,51950.0
2014,July,Vermont,Natural Resources and Mining supersector,4012.0
2014,July,Vermont,"Agriculture, forestry, fishing and hunting",3333.0
2014,July,Vermont,Mining,679.0
2014,July,Vermont,Construction supersector,16465.0
2014,July,Vermont,Manufacturing supersector,31473.0
2014,July,Vermont,Durable Goods manufacturing,20537.0
2014,July,Vermont,Non-Durable Goods manufacturing,10936.0
2014,July,Vermont,Service Providing domain,204607.0
2014,July,Vermont,"Trade, Transportation, and Utilities supersector",55743.0
2014,July,Vermont,Wholesale trade,9310.0
2014,July,Vermont,Retail trade,38461.0
2014,July,Vermont,Transportation and warehousing,6247.0
2014,July,Vermont,Utilities,1725.0
2014,July,Vermont,Information supersector,4825.0
2014,July,Vermont,Financial Activities supersector,12057.0
2014,July,Vermont,Finance and insurance,8845.0
2014,July,Vermont,Real estate and rental and leasing,3212.0
2014,July,Vermont,Professional and Business Services supersector,27516.0
2014,July,Vermont,Professional and technical services,13915.0
2014,July,Vermont,Management of companies and enterprises,2092.0
2014,July,Vermont,Administrative and waste services,11509.0
2014,July,Vermont,Education and Health Services supersector,59677.0
2014,July,Vermont,Educational services,9854.0
2014,July,Vermont,Health care and social assistance,49823.0
2014,July,Vermont,Leisure and Hospitality supersector,35666.0
2014,July,Vermont,"Arts, entertainment, and recreation",5085.0
2014,July,Vermont,Accommodation and food services,30581.0
2014,July,Vermont,"Other services, except public administration supersector",9123.0
2014,July,Vermont,Unspecified industry supersector,
2014,July,Vermont,Federal Government,6702.0
2014,July,Vermont,State government,16084.0
2014,July,Vermont,Local government,22254.0
2015,July,Vermont,Total Covered -  all ownerships,305222.0
2015,July,Vermont,Private ownership,259846.0
2015,July,Vermont,Goods Producing domain,52294.0
2015,July,Vermont,Natural Resources and Mining supersector,4263.0
2015,July,Vermont,"Agriculture, forestry, fishing and hunting",3562.0
2015,July,Vermont,Mining,701.0
2015,July,Vermont,Construction supersector,16872.0
2015,July,Vermont,Manufacturing supersector,31159.0
2015,July,Vermont,Durable Goods manufacturing,19712.0
2015,July,Vermont,Non-Durable Goods manufacturing,11447.0
2015,July,Vermont,Service Providing domain,207552.0
2015,July,Vermont,"Trade, Transportation, and Utilities supersector",55366.0
2015,July,Vermont,Wholesale trade,9415.0
2015,July,Vermont,Retail trade,38322.0
2015,July,Vermont,Transportation and warehousing,6092.0
2015,July,Vermont,Utilities,1537.0
2015,July,Vermont,Information supersector,4682.0
2015,July,Vermont,Financial Activities supersector,11986.0
2015,July,Vermont,Finance and insurance,8842.0
2015,July,Vermont,Real estate and rental and leasing,3144.0
2015,July,Vermont,Professional and Business Services supersector,28294.0
2015,July,Vermont,Professional and technical services,14290.0
2015,July,Vermont,Management of companies and enterprises,2232.0
2015,July,Vermont,Administrative and waste services,11772.0
2015,July,Vermont,Education and Health Services supersector,61136.0
2015,July,Vermont,Educational services,10008.0
2015,July,Vermont,Health care and social assistance,51128.0
2015,July,Vermont,Leisure and Hospitality supersector,36843.0
2015,July,Vermont,"Arts, entertainment, and recreation",5022.0
2015,July,Vermont,Accommodation and food services,31821.0
2015,July,Vermont,"Other services, except public administration supersector",9245.0
2015,July,Vermont,Unspecified industry supersector,
2015,July,Vermont,Federal Government,6764.0
2015,July,Vermont,State government,15975.0
2015,July,Vermont,Local government,22637.0
2016,July,Vermont,Total Covered -  all ownerships,308561.0
2016,July,Vermont,Private ownership,261643.0
2016,July,Vermont,Goods Producing domain,51391.0
2016,July,Vermont,Natural Resources and Mining supersector,4270.0
2016,July,Vermont,"Agriculture, forestry, fishing and hunting",3581.0
2016,July,Vermont,Mining,689.0
2016,July,Vermont,Construction supersector,16986.0
2016,July,Vermont,Manufacturing supersector,30135.0
2016,July,Vermont,Durable Goods manufacturing,18830.0
2016,July,Vermont,Non-Durable Goods manufacturing,11305.0
2016,July,Vermont,Service Providing domain,210252.0
2016,July,Vermont,"Trade, Transportation, and Utilities supersector",55634.0
2016,July,Vermont,Wholesale trade,9595.0
2016,July,Vermont,Retail trade,38654.0
2016,July,Vermont,Transportation and warehousing,6083.0
2016,July,Vermont,Utilities,1302.0
2016,July,Vermont,Information supersector,4645.0
2016,July,Vermont,Financial Activities supersector,11928.0
2016,July,Vermont,Finance and insurance,8809.0
2016,July,Vermont,Real estate and rental and leasing,3119.0
2016,July,Vermont,Professional and Business Services supersector,28889.0
2016,July,Vermont,Professional and technical services,14598.0
2016,July,Vermont,Management of companies and enterprises,2109.0
2016,July,Vermont,Administrative and waste services,12182.0
2016,July,Vermont,Education and Health Services supersector,61943.0
2016,July,Vermont,Educational services,10163.0
2016,July,Vermont,Health care and social assistance,51780.0
2016,July,Vermont,Leisure and Hospitality supersector,37969.0
2016,July,Vermont,"Arts, entertainment, and recreation",5359.0
2016,July,Vermont,Accommodation and food services,32610.0
