Year,Month,Location,Type,Employment
2005,April,Vermont,Leisure and Hospitality supersector,30395.0
2005,April,Vermont,"Arts, entertainment, and recreation",3418.0
2005,April,Vermont,Accommodation and food services,26977.0
2005,April,Vermont,"Other services, except public administration supersector",9093.0
2005,April,Vermont,Unspecified industry supersector,
2005,April,Vermont,Federal Government,6056.0
2005,April,Vermont,State government,16029.0
2005,April,Vermont,Local government,30797.0
2006,April,Vermont,Total Covered -  all ownerships,298449.0
2006,April,Vermont,Private ownership,244636.0
2006,April,Vermont,Goods Producing domain,55293.0
2006,April,Vermont,Natural Resources and Mining supersector,2962.0
2006,April,Vermont,"Agriculture, forestry, fishing and hunting",2234.0
2006,April,Vermont,Mining,728.0
2006,April,Vermont,Construction supersector,16397.0
2006,April,Vermont,Manufacturing supersector,35934.0
2006,April,Vermont,Durable Goods manufacturing,26066.0
2006,April,Vermont,Non-Durable Goods manufacturing,9868.0
2006,April,Vermont,Service Providing domain,189343.0
2006,April,Vermont,"Trade, Transportation, and Utilities supersector",58159.0
2006,April,Vermont,Wholesale trade,10157.0
2006,April,Vermont,Retail trade,39533.0
2006,April,Vermont,Transportation and warehousing,6753.0
2006,April,Vermont,Utilities,1716.0
2006,April,Vermont,Information supersector,5965.0
2006,April,Vermont,Financial Activities supersector,12857.0
2006,April,Vermont,Finance and insurance,9664.0
2006,April,Vermont,Real estate and rental and leasing,3193.0
2006,April,Vermont,Professional and Business Services supersector,22041.0
2006,April,Vermont,Professional and technical services,13212.0
2006,April,Vermont,Management of companies and enterprises,328.0
2006,April,Vermont,Administrative and waste services,8501.0
2006,April,Vermont,Education and Health Services supersector,51492.0
2006,April,Vermont,Educational services,9442.0
2006,April,Vermont,Health care and social assistance,42050.0
2006,April,Vermont,Leisure and Hospitality supersector,29953.0
2006,April,Vermont,"Arts, entertainment, and recreation",3547.0
2006,April,Vermont,Accommodation and food services,26406.0
2006,April,Vermont,"Other services, except public administration supersector",8876.0
2006,April,Vermont,Unspecified industry supersector,
2006,April,Vermont,Federal Government,5937.0
2006,April,Vermont,State government,16387.0
2006,April,Vermont,Local government,31489.0
2007,April,Vermont,Total Covered -  all ownerships,297732.0
2007,April,Vermont,Private ownership,244021.0
2007,April,Vermont,Goods Producing domain,54036.0
2007,April,Vermont,Natural Resources and Mining supersector,2910.0
2007,April,Vermont,"Agriculture, forestry, fishing and hunting",2184.0
2007,April,Vermont,Mining,726.0
2007,April,Vermont,Construction supersector,15345.0
2007,April,Vermont,Manufacturing supersector,35781.0
2007,April,Vermont,Durable Goods manufacturing,26062.0
2007,April,Vermont,Non-Durable Goods manufacturing,9719.0
2007,April,Vermont,Service Providing domain,189985.0
2007,April,Vermont,"Trade, Transportation, and Utilities supersector",57608.0
2007,April,Vermont,Wholesale trade,10282.0
2007,April,Vermont,Retail trade,39049.0
2007,April,Vermont,Transportation and warehousing,6532.0
2007,April,Vermont,Utilities,1745.0
2007,April,Vermont,Information supersector,5889.0
2007,April,Vermont,Financial Activities supersector,12813.0
2007,April,Vermont,Finance and insurance,9614.0
